Items,Time-interval,Support
diaper,"[[Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')]]",[[81.13207547169812]]
wine,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')]]",[[58.18181818181818]]
pencil,"[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')]]",[[81.48148148148148]]
meat,"[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-08 12:26:00')]]",[[77.98165137614679]]
bread,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')], [Timestamp('2020-08-04 12:26:00'), Timestamp('2020-08-08 12:26:00')]]","[[58.18181818181818], [79.24528301886792]]"
bagel,"[[Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[[63.1578947368421]]
eggs,"[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-03 12:26:00')]]",[[78.18181818181819]]
cheese,"[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')], [Timestamp('2020-08-19 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[[81.48148148148148], [41.46341463414634]]"
"('bagel', 'cheese')","[[Timestamp('2020-08-19 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[[41.46341463414634]]
"('diaper', 'bagel')","[[Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')]]",[[81.13207547169812]]
"('meat', 'bread')","[[Timestamp('2020-08-04 12:26:00'), Timestamp('2020-08-08 12:26:00')]]",[[79.24528301886792]]
"('meat', 'eggs')","[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-03 12:26:00')]]",[[78.18181818181819]]
"('pencil', 'cheese')","[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')]]",[[81.48148148148148]]
"('wine', 'bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')]]",[[58.18181818181818]]
