Items,Time-interval,Support (%) ,,
diaper,"Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')",81.13',,local_support=20
wine,"Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')",58.18',,        minthd1=2
pencil,"Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')",81.48',,        minthd2=3
meat,"Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-08 12:26:00')",77.98',,
bread,"Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00'), Timestamp('2020-08-04 12:26:00'), Timestamp('2020-08-08 12:26:00')","58.18', '79.25'",,
bagel,"Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-22 12:26:00')",63.16',,
eggs,"Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-03 12:26:00')",78.18',,
cheese,"Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00'), Timestamp('2020-08-19 12:26:00'), Timestamp('2020-08-22 12:26:00')","81.48', '41.46'",,
"('bagel', 'cheese')","Timestamp('2020-08-19 12:26:00'), Timestamp('2020-08-22 12:26:00')",41.46',,
"('diaper', 'bagel')","Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')",81.13',,
"('meat', 'bread')","Timestamp('2020-08-04 12:26:00'), Timestamp('2020-08-08 12:26:00')",79.25',,
"('meat', 'eggs')","Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-03 12:26:00')",78.18',,
"('pencil', 'cheese')","Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')",81.48',,
"('wine', 'bread')","Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')",58.18',,
