Items,Time-interval,Support in percent
eggs,"[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-03 12:26:00')]]",[['78.18']]
pencil,"[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')]]",[['81.48']]
bread,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')], [Timestamp('2020-08-04 12:26:00'), Timestamp('2020-08-08 12:26:00')]]","[['58.18'], ['79.25']]"
meat,"[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-08 12:26:00')]]",[['77.98']]
bagel,"[[Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[['63.16']]
diaper,"[[Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')]]",[['81.13']]
cheese,"[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')], [Timestamp('2020-08-19 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['81.48'], ['41.46']]"
wine,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')]]",[['58.18']]
"('bagel', 'cheese')","[[Timestamp('2020-08-19 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[['41.46']]
"('bagel', 'diaper')","[[Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')]]",[['81.13']]
"('bread', 'meat')","[[Timestamp('2020-08-04 12:26:00'), Timestamp('2020-08-08 12:26:00')]]",[['79.25']]
"('bread', 'wine')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-29 12:26:00')]]",[['58.18']]
"('eggs', 'meat')","[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-03 12:26:00')]]",[['78.18']]
"('pencil', 'cheese')","[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-13 12:26:00')]]",[['81.48']]
