,Items,Time-interval,Support in percent
,Diaper,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",40.89
,Meat,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",47.62
,Cheese,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",50.32
,Bread,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",50.48
,Bagel,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",43.23
,Pencil,"Timestamp(2020-07-30 12:26:00), Timestamp(2020-08-15 12:26:00), Timestamp(2020-08-17 12:26:00), Timestamp(2020-08-22 12:26:00)","39.46, 42.62"
,Milk,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",50.80
,Wine,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",43.81
,Eggs,"Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",43.81
,"(Bagel, Milk)","Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-05 12:26:00), Timestamp(2020-08-07 12:26:00), Timestamp(2020-08-22 12:26:00)","25.98, 24.05"
,"(Bread, Bagel)","Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",28.39
,"(Bread, Eggs)","Timestamp(2020-08-03 12:26:00), Timestamp(2020-08-18 12:26:00)",22.54
,"(Bread, Milk)","Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",28.66
,"(Bread, Pencil)","Timestamp(2020-07-30 12:26:00), Timestamp(2020-08-15 12:26:00), Timestamp(2020-08-17 12:26:00), Timestamp(2020-08-22 12:26:00)","22.65, 22.81"
,"(Bread, Wine)","Timestamp(2020-07-25 12:27:00), Timestamp(2020-08-22 12:26:00)",24.44
,"(Cheese, Bagel)","Timestamp(2020-08-12 12:26:00), Timestamp(2020-08-22 12:26:00)",23.08
