Items,Time-interval,Support in percent,
Milk,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['50.80']],local_support=22
Diaper,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['40.89']],    minthd1=2
Cheese,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['50.32']],    minthd2=4
Wine,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['43.81']],
Pencil,"[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-15 12:26:00')], [Timestamp('2020-08-17 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['39.46'], ['42.62']]",
Meat,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['47.62']],
Bread,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['50.48']],
Eggs,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['43.81']],
Bagel,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['43.23']],
"('Bread', 'Bagel')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['28.39']],
"('Bread', 'Eggs')","[[Timestamp('2020-08-03 12:26:00'), Timestamp('2020-08-18 12:26:00')]]",[['22.54']],
"('Cheese', 'Bagel')","[[Timestamp('2020-08-12 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[['23.08']],
"('Cheese', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-07 12:26:00')], [Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['25.97'], ['23.81']]",
"('Cheese', 'Eggs')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['30.03']],
"('Cheese', 'Meat')","[[Timestamp('2020-07-29 12:26:00'), Timestamp('2020-08-14 12:26:00')], [Timestamp('2020-08-16 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['32.60'], ['39.44']]",
"('Cheese', 'Wine')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['27.16']],
"('Diaper', 'Bagel')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')]]",[['25.00']],
