Items,Time-interval,Support in percent
Meat,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['47.62']]
Bagel,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['43.23']]
Diaper,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['40.89']]
Milk,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['50.80']]
Pencil,"[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-15 12:26:00')], [Timestamp('2020-08-17 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['39.46'], ['42.62']]"
Bread,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['50.48']]
Cheese,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['50.32']]
Eggs,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['43.81']]
Wine,"[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['43.81']]
"('Bagel', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['28.39']]
"('Bagel', 'Cheese')","[[Timestamp('2020-08-12 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[['23.08']]
"('Bagel', 'Diaper')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')]]",[['25.00']]
"('Bagel', 'Milk')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-05 12:26:00')], [Timestamp('2020-08-07 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['25.98'], ['24.05']]"
"('Bread', 'Cheese')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-07 12:26:00')], [Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['25.97'], ['23.81']]"
"('Bread', 'Eggs')","[[Timestamp('2020-08-03 12:26:00'), Timestamp('2020-08-18 12:26:00')]]",[['22.54']]
"('Bread', 'Wine')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['24.44']]
"('Cheese', 'Eggs')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['30.03']]
"('Cheese', 'Wine')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['27.16']]
"('Diaper', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['32.47'], ['35.29']]"
"('Diaper', 'Cheese')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-12 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['28.57'], ['28.99']]"
"('Diaper', 'Milk')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['23.94'], ['25.00']]"
