Items,Time-interval,Support in percent,
coronavirus,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['7.89']],local_support=2.0
covid,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['7.93']],minthd1=7
like,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:39:00')]]",[['2.29']],minthd2=3
india,"[[Timestamp('2020-07-24 23:56:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.24']],
health,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:41:00')]]",[['2.88']],
get,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:38:00')]]",[['2.68']],
vaccine,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.09']],
one,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.88']],
new,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:41:00')]]",[['7.23']],
people,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['5.04']],
mask,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['3.23']],
covid19,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:41:00')]]",[['55.77']],
help,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.30']],
time,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:39:00')]]",[['2.60']],
day,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['3.18']],
dont,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.06']],
say,"[[Timestamp('2020-07-24 23:51:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.11']],
death,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:41:00')]]",[['5.09']],
total,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-22 10:30:00')]]",[['2.25']],
test,"[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:41:00')]]",[['2.38']],
case,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:41:00')]]",[['9.37']],
pandemic,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:39:00')]]",[['4.63']],
state,"[[Timestamp('2020-07-24 23:51:00'), Timestamp('2020-08-22 10:35:00')]]",[['2.02']],
positive,"[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.66']],
today,"[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:38:00')]]",[['2.55']],
need,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:41:00')]]",[['2.70']],
"('coronavirus', 'covid19')","[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['5.28']],
"('covid', 'covid19')","[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:40:00')]]",[['3.60']],
"('covid19', 'case')","[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:41:00')]]",[['7.11']],
"('covid19', 'death')","[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-22 10:41:00')]]",[['3.60']],
"('covid19', 'pandemic')","[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:39:00')]]",[['2.97']],
"('covid19', 'positive')","[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:40:00')]]",[['2.10']],
"('death', 'case')","[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:41:00')]]",[['2.46']],
"('new', 'case')","[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:41:00')]]",[['3.43']],
"('new', 'covid19')","[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-22 10:41:00')]]",[['4.80']],
"('people', 'covid19')","[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-22 10:38:00')]]",[['2.49']],
